Name,Industry,Sector,Headquarters,Founded,Notes
Cadila Healthcare,Health care,Pharmaceuticals,Ahmedabad,1952,Pharma
Café Coffee Day,Consumer services,Restaurants & bars,Bengaluru,1996,Cafe chain
Canara Bank,Financials,Banks,Bangalore,1906,State-owned bank
CaratLane,Consumer services,Broadline retailers,Chennai,2008,E-commerce
CEAT,Consumer goods,Tires,Mumbai,1958,Tyres
Celkon,Consumer goods,Consumer electronics,Hyderabad,2009,Mobile handsets
Century Plyboards,Consumer goods,Materials,Kolkata,1986,Plywood
Centum Electronics,Electronics,Electronics,Bangalore,1993,Electronics
Central Bank of India,Financials,Banks,Mumbai,1911,Central bank
CESC Limited,Utilities,Conventional electricity,Kolkata,1897,Electrical distribution
Chennai Petroleum Corporation,Oil & gas,Exploration & production,Chennai,1965,State oil and gas
Cipla,Health care,Pharmaceuticals,Mumbai,1935,Pharma
City Union Bank,Financials,Banks,Kumbakonam,1904,Bank
CMC,Industrials,Business support services,New Delhi,1975,Information technology consulting
Coal India Limited,Basic materials,Coal,Kolkata,1975,Coal mining
Cochin Minerals and Rutile Limited,Basic materials,Specialty chemicals,Kochi,1989,Minerals
Cochin Shipyard Limited,Industrials,Shipbuilding,Kochi,1972,Ship building
Computer Age Management Services,Financials,Stocks,Chennai,1988,"Stock market, Mutual fund"
Container Corporation of India,Industrials,Rail transportation,New Delhi,1988,Part of Indian Railways
Coromandel International,Basic materials,Specialty chemicals,Hyderabad,1960,"Fertilizers, pesticides"
Cosmic Circuits,Technology,Semiconductors,Bengaluru,2005,Acquired by Cadence Design Systems (US)
Crompton Greaves,Utilities,Conventional electricity,Mumbai,1878,Electrical distribution
Crossword Bookstores,Books,Bookstore,Mumbai,1992,Bookstore
CSB Bank,Financials,Banks,Thrissur,1920,Private bank
Cyient,Technology,Software & IT services,Hyderabad,1991,"Engineering outsourcing services, software management & technology consulting"
Dabur,Health care,Pharmaceuticals,Ghaziabad,1884,Alternative medicines
Damodar Valley Corporation,Utilities,Conventional electricity,Kolkata,1948,Power
Datamatics,Technology,Software,Mumbai,1987,"Software, BPO"
Deccan Charters,Consumer services,Airlines,Bengaluru,1997,Charter airline
Dedicated Freight Corridor Corporation of India,Transport,Freight rail,New Delhi,2006,Part of Ministry of Railways (India)
Dempo,Basic materials,General mining,Panaji,1941,Mining
Dena Bank,Financials,Banks,Mumbai,1938,State bank
Dish TV,Consumer services,Broadcasting & entertainment,Noida,2003,Satellite television
Dixon Technologies,Electronics Manufacturing Services,Electronics,Noida,1993,Electronics Manufacturing Services
DLF,Financials,Real estate holding & development,New Delhi,1946,Developer
DMart,Consumer goods,Retail,Mumbai,2002,Shopping mall
Dr. Reddy's Laboratories,Health care,Pharmaceuticals,Hyderabad,1984,Pharma
Dynamatic Technologies,precision engineering,"Aerospace, Automotive, Hydraulics, Security",Bangalore,1973,precision engineering
EaseMyTrip,travel booking,Travel,New Delhi,2008,travel booking
Edelweiss Group,Finance & Investment,Finance,Mumbai,1995,Finance & Investment
e-Dhara Kendra,Government,Land administration,Gujarat,1988,Each situated at Taluka Mamlatdar Office
Electronics Corporation of India Limited,Electronics,Nuclear electronics,Hyderabad,1967,Electronics
Eicher Motors,Industrials,Commercial vehicles & trucks,Gurugram,1948,"Bus, trucks"
EID Parry,Consumer goods,Food products,Chennai,1788,"Sugar, distillery"
Emami,Conglomerate,-,Kolkata,1974,"Fast-moving consumer goods, healthcare, retail"
Emcure Pharmaceuticals,Health care,Pharmaceuticals,Pune,1983,Pharma
Engineers India,Oil & gas,Equipment & services,New Delhi,1965,Engineering and consulting
English Indian Clays,Basic materials,General mining,New Delhi,1963,Clay
Escorts Group,Industrials,Industrial engineering,Faridabad,1960,"Heavy equipment, machines"
Essar Group,Conglomerate,-,Mumbai,1969,"Steel, oil & gas, shipping, real estate"
Essel Group,Conglomerate,-,Mumbai,1926,"Media, technology, basic materials"
Eureka Forbes,Consumer goods,Consumer electronics,Mumbai,1982,Home goods and equipment
Eveready Industries India,Consumer goods,Durable household products,Kolkata,1905,"Batteries, flashlights, lamps"
Exide Industries,Industrials,Electrical components & equipment,Kolkata,1947,Batteries
Exide Life Insurance,Financials,Life insurance,Bengaluru,2001,"Life insurance, part of Exide Industries"
Federal Bank,Financials,Banks,Kochi,1931,Private bank
Financial Technologies Group,Technology,Software,Chennai,1988,Financial technology
Firstsource,Industrials,Business support services,Mumbai,2001,BPO
Flipkart,Consumer services,E-commerce,Bengaluru,2007,E-commerce
Forbes & Company Limited,Technology,"Banking Kiosk, ATM, Robotics, Industrial Automation",Mumbai,1767,"Part of Shapoorji Pallonji Group that makes Banking Kiosk, ATM, Robotics, Industrial Automation"
Force Motors,Consumer goods,Automobiles,Pune,1958,"Three wheelers, cars"
Fortis Healthcare,Health care,Health care providers,Gurugram,2001,Hospitals
Future Group,Consumer services,Diversified retailers,Mumbai,1987,"Diversified retail, FMCG"
GAIL,Utilities,Gas distribution,New Delhi,1984,Natural gas
Galaxy Surfactants,Chemicals company,Chemicals,Navi Mumbai,1980,Chemicals
Garden Reach Shipbuilders & Engineers,Industrials,Shipbuilding,Kolkata,1884,Ship building
Geojit Financial Services,Financials,Investment Services,Kochi,1987,Investment Advisory Services
Gini & Jony,Clothes,Textile,Mumbai,1980,Children's clothes
Glenmark Pharmaceuticals,Health care,Pharmaceuticals,Mumbai,1977,Pharma
GMR Group,Financials,Real estate holding & development,Bengaluru,1978,Development projects
Goa Shipyard,Industrials,Shipbuilding,Goa,1957,Ship building
GoAir Airlines,Consumer services,Airlines,Mumbai,2005,Low-cost airline
Godrej Group,Conglomerate,-,Mumbai,1897,"Aerospace, consumer goods, real estate, defense"
Great Eastern Shipping,Industrials,Marine transportation,Mumbai,1948,Shipping
Greaves Cotton,Industrials,Industrial engineering,Mumbai,1859,"Engines, gensets, construction equipment, farm equipment & pumps"
Greenply,Consumer goods,Materials,Tinsukia,1990,Plywood
Gujarat Alkalies and Chemicals Limited (GACL),Basic materials,Speciality chemicals,Noida,1973,Produce chemicals
Gujarat Mineral Development Corporation (GMDC),Basic materials,General mining,Ahmedabad,1963,"Mining, metals"
